Company,Application
Sprout AI Studio,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Demandbase,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
SelectQuote Insurance Services,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Suno,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Keyo,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Sprout AI Studio,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
SelectQuote Insurance Services,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Keyo,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Suno,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Voltage Park,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
Varicent,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
540,"{""status"":""skipped"",""reason"":""unknown_form_type""}"
